Date,Sales_A,Sales_B,Sales_C,Sales_Total
7/31/2020,2197.6,5025,1005.3,8227.9
8/1/2020,1797.4,3383.3,1294,6474.7
8/2/2020,1977.8,5167.6,941.4,8086.8
8/3/2020,3216,6486.2,1367.8,11070
8/4/2020,1722,4141,933.2,6796.2
8/5/2020,1385.8,3293.1,518.2,5197.1
8/6/2020,2220.6,4898.7,413.3,7532.6
8/7/2020,964.3,4659.2,1280.8,6904.3
8/8/2020,2346.8,4870.8,674,7891.6
8/9/2020,1497.3,5313.6,1886,8696.9
8/10/2020,2328.8,2535.4,1107,5971.2
8/11/2020,2340.3,4032.8,746.2,7119.3
8/12/2020,1820.4,5213.6,870.8,7904.8
8/13/2020,2151.7,5464.5,1536.7,9152.9
8/14/2020,2669.9,5389,1402.2,9461.1
8/15/2020,2861.8,5904,1518.6,10284.4
8/16/2020,1736.8,5643.2,751.1,8131.1
8/17/2020,1623.6,4669.1,1034.8,7327.5
8/18/2020,2446.9,5695.7,1435,9577.6
8/19/2020,2407.5,5451.4,1644.9,9503.8
8/20/2020,2217.3,4954.4,1125,8296.7
8/21/2020,3834.3,5558,2010.6,11402.9
8/22/2020,1654.8,6978.2,1927,10560
8/23/2020,2340.3,5594,1853.2,9787.5
8/24/2020,1275.9,3739.2,1246.4,6261.5
8/25/2020,2112.3,4623.2,1379.2,8114.7
8/26/2020,2387.8,5956.5,1567.8,9912.1
8/27/2020,1913.9,5894.2,1667.9,9476
8/28/2020,2156.6,5774.4,1561.3,9492.3
8/29/2020,2382.9,6620.7,2589.6,11593.2
8/30/2020,3447.3,7416.1,2340.3,13203.7
8/31/2020,2550.2,4444.4,1472.7,8467.3
9/1/2020,2591.2,4290.2,1717.1,8598.5
9/2/2020,2148.4,4826.5,2274.7,9249.6
9/3/2020,2218.9,4214.8,1618.7,8052.4
9/4/2020,2102.5,7306.2,1200.5,10609.2
9/5/2020,2264.8,6243.5,921.7,9430
9/6/2020,2312.4,6792.9,2187.8,11293.1
9/7/2020,1230,3517.8,1171,5918.8
9/8/2020,1000.4,3893.4,984,5877.8
9/9/2020,1169.3,3617.8,1128.3,5915.4
9/10/2020,2087.7,4987.2,608.4,7683.3
9/11/2020,1474.4,5785.9,1287.4,8547.7
9/12/2020,2505.9,7473.5,1289,11268.4
9/13/2020,1895.8,5272.6,1397.3,8565.7
9/14/2020,1225.1,5325.1,1036.5,7586.7
9/15/2020,2153.3,4036,1049.6,7238.9
9/16/2020,1187.4,4410,890.5,6487.9
9/17/2020,2763.4,4155.8,1597.4,8516.6
9/18/2020,1789.2,3852.4,1353,6994.6
9/19/2020,1825.3,7048.7,1197.2,10071.2
9/20/2020,2599.4,7061.8,1562.9,11224.1
9/21/2020,1456.3,5669.5,984,8109.8
9/22/2020,1804,5028.2,662.6,7494.8
9/23/2020,1425.2,5930.2,1052.9,8408.3
9/24/2020,1474.4,5871.2,1689.2,9034.8
9/25/2020,2268.1,5658,1817.1,9743.2
9/26/2020,1851.6,6128.7,900.4,8880.7
9/27/2020,2855.2,7352.1,1587.5,11794.8
9/28/2020,1725.3,4431.3,537.9,6694.5
9/29/2020,1667.9,5371,652.7,7691.6
9/30/2020,1315.3,3419.4,810.2,5544.9
10/1/2020,2489.5,5425.1,1223.4,9138
10/2/2020,2051.6,8026.2,1910.6,11988.4
10/3/2020,2304.2,6952,1544.9,10801.1
10/4/2020,2469.8,5843.3,1546.5,9859.6
10/5/2020,1612.1,3685.1,705.2,6002.4
10/6/2020,1523.6,6141.8,2012.3,9677.7
10/7/2020,2256.6,6204.1,1435,9895.7
10/8/2020,1968,4915.1,1487.5,8370.6
10/9/2020,1987.7,7891.7,2423.9,12303.3
10/10/2020,3086.5,10282.8,2271.4,15640.7
10/11/2020,2679.8,7547.3,1931.9,12159
10/12/2020,2701.1,4485.4,1316.9,8503.4
10/13/2020,3057,5781,656,9494
10/14/2020,1718.7,5408.7,1497.3,8624.7
10/15/2020,2319,5549.8,1543.2,9412
10/16/2020,1989.3,8104.9,1748.2,11842.4
10/17/2020,1954.9,6451.8,1503.9,9910.6
10/18/2020,3293.1,7294.7,1377.6,11965.4
10/19/2020,975.8,3680.2,1249.7,5905.7
10/20/2020,1756.4,5189,728.2,7673.6
10/21/2020,1943.4,5628.5,2294.4,9866.3
10/22/2020,2092.6,4529.7,1692.5,8314.8
10/23/2020,2755.2,9623.5,1612.1,13990.8
10/24/2020,3117.6,6832.2,2141.8,12091.6
10/25/2020,2259.9,5039.7,1530.1,8829.7
10/26/2020,1913.9,5462.8,1441.6,8818.3
10/27/2020,2410.8,5110.2,1564.6,9085.6
10/28/2020,2706,6284.5,1467.8,10458.3
10/29/2020,1868,6550.2,1925.4,10343.6
10/30/2020,2309.1,6512.4,1131.6,9953.1
10/31/2020,3047.1,8977.4,2191,14215.5
11/1/2020,1435,9211.9,2586.3,13233.2
11/2/2020,2304.2,6376.3,1582.6,10263.1
11/3/2020,2320.6,4611.7,1940.1,8872.4
11/4/2020,2952,5305.4,2133.6,10391
11/5/2020,1412,6646.9,1418.6,9477.5
11/6/2020,3222.6,7699.8,1403.8,12326.2
11/7/2020,3745.8,8834.7,2456.7,15037.2
11/8/2020,2697.8,9551.4,1766.3,14015.5
11/9/2020,1554.7,4172.2,1777.8,7504.7
11/10/2020,1536.7,5477.6,1271,8285.3
11/11/2020,2740.4,5238.2,1728.6,9707.2
11/12/2020,1812.2,5525.2,1380.9,8718.3
11/13/2020,3106.2,6979.8,1712.2,11798.2
11/14/2020,1989.3,6299.2,1733.5,10022
11/15/2020,2861.8,8903.6,1620.3,13385.7
11/16/2020,1631.8,4239.4,1005.3,6876.5
